https://www.youtube.com/watch?v=6jXSW0t_8S0
Jeff, 0:49, 0:58
Noah, 1:32, 1:37
Rupak, 3:01, 3:13
Chris, 3:06, 3:20
Vinit, 3:50, 3:57
Tim, 5:57, 6:08
Matt, 6:03, 6:08
Noah, 9:11, 9:19
Jeff, 14:01, 14:07

https://www.youtube.com/watch?v=KNiUbvgHswE
Rupak, 2:42, 2:48
Noah, 5:52, 6:01
Chris, 6:13, 6:29
Vinit, 6:58, 7:08
Rupak, 9:25, 9:33
Jeff POOP, 13:12, 13:18
